Nombre de valeurs, 10, 100, 1000, 10000, 100000, 1000000
Tri rapide [ms], 0.002300, 0.015700, 0.186000, 2.354000, 30.576800, 603.400700
Tri par base 1 [ms], 0.019500, 0.115700, 1.152300, 12.846100, 120.149000, 1249.817500
Tri par base 2 [ms], 0.009800, 0.058700, 0.584500, 6.686900, 57.320200, 609.428700
Tri par base 4 [ms], 0.007200, 0.031400, 0.292000, 3.229900, 30.228800, 323.279500
Tri par base 8 [ms], 0.052700, 0.022400, 0.155900, 1.677200, 15.487300, 193.214300
Tri par base 16 [ms], 1.022300, 0.842100, 1.061200, 2.362600, 9.045300, 94.662300
