Nombre de valeurs, 10, 100, 1000, 10000, 100000, 1000000
Tri rapide [ms], 0.001900, 0.020200, 0.259800, 4.277300, 36.392800, 499.370600
Tri par base 1 [ms], 0.019200, 0.127900, 1.125400, 13.023900, 109.145500, 1271.987800
Tri par base 2 [ms], 0.010000, 0.063100, 0.546200, 5.976100, 56.567900, 665.129800
Tri par base 4 [ms], 0.006900, 0.033700, 0.286800, 2.968300, 29.522100, 346.277700
Tri par base 8 [ms], 0.045800, 0.025200, 0.158200, 1.514400, 15.258800, 195.745300
Tri par base 16 [ms], 1.013900, 1.071800, 1.133600, 1.793700, 9.906100, 120.996800
