Nombre de valeurs, 10, 100, 1000, 10000, 100000, 1000000
Tri rapide [ms], 0.001900, 0.025500, 0.234300, 2.748100, 31.264600, 490.805500
Tri par base 1 [ms], 0.019400, 0.156600, 1.562900, 11.938200, 114.299200, 1262.455200
Tri par base 2 [ms], 0.010000, 0.065800, 0.627100, 6.222900, 59.806300, 630.188800
Tri par base 4 [ms], 0.006900, 0.034200, 0.315300, 2.963300, 30.164100, 320.609700
Tri par base 8 [ms], 0.051200, 0.024000, 0.186700, 1.546000, 15.278200, 166.466700
Tri par base 16 [ms], 1.050300, 1.162300, 1.133200, 1.880000, 8.874400, 92.005900
